Position,alexander.berger@recpro.com.de,fabian.muller@recpro.com.de,max.mustermann@recpro.com.de,julia.fischer@recpro.com.de,katharina.schneider@recpro.com.de,laura.beckmann@recpro.com.de,lisa.baumann@recpro.com.de,marie.sonnenschein@recpro.com.de,markus.lehmann@recpro.com.de,nobby.nic@recpro.com.de
88,3,6,8,9,7,9,8,6,9,6
89,2,7,8,9,7,8,6,5,8,3
90,1,5,2,6,3,3,3,4,3,2
91,3,8,7,8,4,4,5,4,4,7
92,5,9,4,9,4,4,3,5,5,6
93,3,4,8,9,9,6,9,10,4,9
94,6,4,6,9,9,5,5,9,3,9
95,5,5,7,7,8,6,4,10,3,8
96,3,6,8,8,7,8,6,8,6,8
97,4,6,5,7,7,6,8,7,6,8
98,5,6,8,9,8,5,7,8,7,8
99,2,7,9,8,7,6,7,6,7,8
100,2,4,3,6,4,3,2,4,2,4
101,2,5,4,8,6,4,4,5,4,7
102,3,8,3,9,3,4,3,5,4,4
103,7,4,8,9,9,6,9,9,6,8
104,4,7,7,3,7,6,3,4,7,4
105,4,6,7,6,7,7,4,7,5,3
106,3,4,7,4,4,5,4,7,8,6
107,3,5,5,7,8,3,7,9,6,7
108,6,7,8,6,7,8,5,8,8,5
109,2,6,9,8,8,6,6,7,7,6
110,2,6,2,3,5,2,3,6,3,3
111,8,6,6,8,7,3,5,7,5,4
112,4,7,3,7,4,4,3,5,4,3
113,9,4,9,8,8,6,8,8,6,8
114,5,4,8,4,7,3,6,6,4,8
115,3,4,5,4,4,4,6,9,4,6
116,4,5,4,4,5,6,5,7,6,6
117,7,6,6,6,8,4,7,8,6,6
118,7,7,7,4,6,7,7,9,8,8
119,7,5,8,7,7,4,7,8,8,7
120,3,6,2,6,4,2,3,6,3,2
121,2,8,6,8,6,4,5,7,6,7
122,4,7,4,9,3,4,4,6,4,4
123,6,4,8,7,10,4,7,5,6,8
124,4,5,8,6,8,3,4,6,7,9
125,4,4,7,6,7,4,4,7,3,6
126,4,4,7,4,4,7,5,4,7,6
127,8,6,7,7,8,5,7,8,5,8
128,4,6,9,5,7,7,4,8,8,8
129,2,7,9,8,6,8,5,7,6,8
130,1,4,2,6,5,2,2,4,2,2
131,2,3,3,3,4,9,3,4,3,2
132,3,4,3,8,3,4,3,3,4,3
133,4,5,8,9,8,8,4,3,6,6
134,3,6,7,5,6,7,3,6,9,4
135,3,3,9,6,8,7,4,3,4,8
136,2,7,6,4,4,8,6,4,6,5
137,2,6,4,7,7,6,6,5,5,7
138,4,8,8,6,6,9,4,6,8,6
139,2,4,7,5,6,9,4,3,7,2
140,1,5,2,4,3,3,2,4,3,2
141,3,7,8,8,5,5,6,7,3,7
142,5,8,3,9,4,4,3,4,6,4
143,9,6,9,9,9,7,8,7,6,8
144,4,7,7,6,8,4,5,6,7,9
145,6,4,5,7,7,6,4,6,5,6
146,3,5,7,6,5,7,6,5,8,5
147,7,5,7,8,9,5,7,8,5,8
148,4,6,8,8,7,8,6,8,7,8
149,3,6,8,8,7,7,7,7,7,7
150,2,3,2,7,3,3,3,6,3,3
